iter	Logloss
0	0.6869719643
1	0.6800892971
2	0.672556369
3	0.6648530596
4	0.6577319669
5	0.6502650492
6	0.6436956987
7	0.6369296589
8	0.6311703935
9	0.6248571268
10	0.6181460094
11	0.6119788211
12	0.6067424146
13	0.6029805667
14	0.5973551502
15	0.5910922418
16	0.5859884482
17	0.5811858073
18	0.5784708389
19	0.5739601614
20	0.5708003461
21	0.566589579
22	0.5616401675
23	0.5568842973
24	0.5545260007
25	0.5511168571
26	0.5462580791
27	0.5419119106
28	0.5385221489
29	0.533569037
30	0.5294186749
31	0.5253068469
32	0.5212042603
33	0.5189516228
34	0.5147665951
35	0.5107246911
36	0.5073752604
37	0.5046057868
38	0.5008005288
39	0.4974629984
40	0.4936887407
41	0.4905764489
42	0.4878167971
43	0.4838747304
44	0.4808983197
45	0.4787997329
46	0.4757921102
47	0.4729186039
48	0.4702966518
49	0.4670395972
50	0.4642026775
51	0.4621495875
52	0.4590701542
53	0.4559595669
54	0.4530263727
55	0.4500576931
56	0.4468242156
57	0.444743058
58	0.4421465025
59	0.4399694175
60	0.4372061664
61	0.4362792051
62	0.4353698307
63	0.4323175232
64	0.4301141121
65	0.4276239066
66	0.4259841638
67	0.4236631058
68	0.4209838091
69	0.4185539668
70	0.4166921381
71	0.4146939629
72	0.413067573
73	0.4109859052
74	0.4085211402
75	0.4066917887
76	0.4045935683
77	0.4026622571
78	0.4013983593
79	0.3998332224
80	0.3977495838
81	0.3953866866
82	0.3935005172
83	0.3916879616
84	0.3900144352
85	0.3888242561
86	0.3869946335
87	0.3865017642
88	0.3848513248
89	0.3832300156
90	0.3816425432
91	0.3795606223
92	0.3777138166
93	0.3759547741
94	0.3740685952
95	0.3723134259
96	0.3712996005
97	0.3697165503
98	0.3683523437
99	0.3669481565
100	0.3655370194
101	0.3641246357
102	0.3626411065
103	0.3619820667
104	0.3610464891
105	0.3596682461
106	0.3582004821
107	0.357603909
108	0.3561700571
109	0.3548263516
110	0.3534010112
111	0.3525004737
112	0.3511441477
113	0.3497194849
114	0.3482419122
115	0.3472457466
116	0.346288872
117	0.3451938795
118	0.3440441011
119	0.3432749153
120	0.3418833106
121	0.3407847217
122	0.3395901388
123	0.3386540765
124	0.3376294975
125	0.3371292613
126	0.336044128
127	0.3351060666
128	0.3343864442
129	0.3337500737
130	0.3325888775
131	0.3315936626
132	0.3307341699
133	0.3296484825
134	0.3286961173
135	0.3275207742
136	0.3266222111
137	0.325853695
138	0.3247901502
139	0.3238781535
140	0.3231399603
141	0.3223071086
142	0.3213500174
143	0.3206342497
144	0.3200268448
145	0.3190679912
146	0.3183370578
147	0.3173332314
148	0.3167027407
149	0.3159801514
150	0.3150652502
151	0.3143774447
152	0.3138585551
153	0.3131929501
154	0.3124646458
155	0.3117246125
156	0.3110906431
157	0.3101600443
158	0.3091739431
159	0.3085117852
160	0.3078711622
161	0.3072299158
162	0.3069433055
163	0.3061245077
164	0.3055977178
165	0.3047309368
166	0.3039192032
167	0.3032123066
168	0.3025633451
169	0.3019152599
170	0.3011802529
171	0.3003489258
172	0.2998998591
173	0.2993142326
174	0.2985215954
175	0.2980058542
176	0.29720532
177	0.2968912811
178	0.2964643642
179	0.2957827112
180	0.294981781
181	0.294510328
182	0.2940751408
183	0.2934410287
184	0.292483323
185	0.2920804746
186	0.2914295971
187	0.2907756068
188	0.2903716341
189	0.2897796511
190	0.2890162621
191	0.2884393504
192	0.2877146124
193	0.286980299
194	0.2863468069
195	0.2860142147
196	0.2856910009
197	0.2855619055
198	0.2851479821
199	0.2846848302
200	0.2839278062
201	0.2835946506
202	0.2830600652
203	0.282563083
204	0.2820771062
205	0.2818694219
206	0.28140408
207	0.281120265
208	0.280627158
209	0.2801427845
210	0.2797912338
211	0.2793100511
212	0.2786895809
213	0.2783990654
214	0.2779219858
215	0.2775953294
216	0.2772845335
217	0.2768509874
218	0.2762871948
219	0.2759198075
220	0.2756062636
221	0.2755808497
222	0.2749909016
223	0.2743460331
224	0.2738036802
225	0.273137823
226	0.2725627223
227	0.2720818539
228	0.2715149623
229	0.2712387763
230	0.270887938
231	0.270519326
232	0.2701216974
233	0.2694317145
234	0.26909382
235	0.2683997101
236	0.2678657001
237	0.2674049579
238	0.2670040529
239	0.2666963276
240	0.2665538394
241	0.2663915411
242	0.2659018827
243	0.2654529153
244	0.2652151774
245	0.264750164
246	0.2645181487
247	0.2641113292
248	0.2636822067
249	0.2634344375
250	0.2628969892
251	0.2625612786
252	0.2621208223
253	0.261820238
254	0.2614342129
255	0.2610999107
256	0.2609740403
257	0.260577044
258	0.2603336616
259	0.2600840732
260	0.2596982694
261	0.2592546101
262	0.2589457763
263	0.2584682508
264	0.2578926324
265	0.2576943168
266	0.2573108028
267	0.2567888524
268	0.2564462891
269	0.2561331054
270	0.2557460061
271	0.2553650984
272	0.254737522
273	0.2544781748
274	0.2542858293
275	0.2540158769
276	0.2536963859
277	0.2530901668
278	0.2530670052
279	0.252689121
280	0.2522670046
281	0.2519698995
282	0.2518188226
283	0.2517408118
284	0.2513129157
285	0.2509679176
286	0.2506734657
287	0.2504439978
288	0.2501084558
289	0.2496203349
290	0.2494431861
291	0.2491450256
292	0.2488208397
293	0.248456851
294	0.2481170196
295	0.2479230373
296	0.2478674631
297	0.2475365318
298	0.2470071158
299	0.2466631049
300	0.2461322898
301	0.2458926939
302	0.2457087389
303	0.2452497153
304	0.2448256147
305	0.2444679901
306	0.2440969082
307	0.2438306728
308	0.243462131
309	0.2431175093
310	0.242897107
311	0.2424929711
312	0.2421875826
313	0.2419029828
314	0.2415573833
315	0.2411247886
316	0.2407480351
317	0.2404187158
318	0.2402175717
319	0.2397908363
320	0.239471989
321	0.2393163075
322	0.239214459
323	0.2388789245
324	0.2385184852
325	0.2381834112
326	0.2378233013
327	0.2376534636
328	0.2374451948
329	0.2370684613
330	0.2367269463
331	0.2364848452
332	0.2361732924
333	0.2360112617
334	0.2357304042
335	0.2353126042
336	0.2351048745
337	0.234764207
338	0.234564513
339	0.2342099456
340	0.2339051571
341	0.2336695111
342	0.2335104363
343	0.2332382309
344	0.2328257635
345	0.2323997581
346	0.2321375251
347	0.2317325505
348	0.2313957906
349	0.2310097109
350	0.2306414231
351	0.2302533117
352	0.2299805826
353	0.2298231274
354	0.2294144621
355	0.2291843221
356	0.2289936992
357	0.2285957794
358	0.2285017667
359	0.2282114049
360	0.2279867295
361	0.2277362564
362	0.2274924101
363	0.2272417588
364	0.2270247264
365	0.2268766068
366	0.2267292991
367	0.2262622722
368	0.2259160442
369	0.2257034817
370	0.2255094375
371	0.2252068969
372	0.2250310812
373	0.2246514124
374	0.2245154957
375	0.2242279398
376	0.2239714701
377	0.2235884675
378	0.2231943177
379	0.222959385
380	0.2227266117
381	0.222371061
382	0.2221625647
383	0.2219507962
384	0.2216588631
385	0.2215032793
386	0.221203266
387	0.2210151141
388	0.2207258707
389	0.2204060784
390	0.2202840258
391	0.2200158444
392	0.2198647999
393	0.2196939687
394	0.2194539368
395	0.2190176399
396	0.2187651645
397	0.2186452478
398	0.2185464979
399	0.2183165385
400	0.2180898912
401	0.2177292962
402	0.2174715973
403	0.217150159
404	0.2169661685
405	0.2167183006
406	0.2163552757
407	0.2161537755
408	0.2159895559
409	0.2157922519
410	0.215293838
411	0.2150299976
412	0.2149140866
413	0.2147839868
414	0.2144307105
415	0.21420722
416	0.2140260919
417	0.2137576825
418	0.213667735
419	0.2135076082
420	0.213313971
421	0.2131851215
422	0.2129809815
423	0.2127776057
424	0.2125466429
425	0.2125313066
426	0.2122875666
427	0.2119011364
428	0.2116405065
429	0.2114011505
430	0.2111961692
431	0.2110912136
432	0.2107426798
433	0.210618301
434	0.2104416417
435	0.2101284046
436	0.2099040579
437	0.2096283196
438	0.2094721316
439	0.209103215
440	0.208835553
441	0.2086129088
442	0.2084876039
443	0.208367235
444	0.208097228
445	0.207864209
446	0.2075786959
447	0.2073560441
448	0.207183075
449	0.2070365108
450	0.2067903335
451	0.2064830356
452	0.2062894275
453	0.2060691333
454	0.2058130207
455	0.2056326808
456	0.2053895579
457	0.2052394974
458	0.204989563
459	0.2045488421
460	0.2043086009
461	0.2039120976
462	0.203680796
463	0.2035894785
464	0.2034321989
465	0.2032501945
466	0.2029388716
467	0.2027596385
468	0.2025483178
469	0.2024492476
470	0.2022457447
471	0.2020522099
472	0.201876724
473	0.2016597156
474	0.2015053924
475	0.2011825651
476	0.2009845044
477	0.200897622
478	0.2007319754
479	0.2005775884
480	0.2002698069
481	0.2000481795
482	0.1998725114
483	0.1997954083
484	0.1996869264
485	0.1995559229
486	0.1994253708
487	0.1990866015
488	0.1987288092
489	0.1984029748
490	0.198193262
491	0.1980177578
492	0.1978179827
493	0.1976032328
494	0.1973792964
495	0.1972802648
496	0.197169652
497	0.1969757232
498	0.1966160646
499	0.196361722
500	0.1961919377
501	0.195939232
502	0.19577367
503	0.1956499121
504	0.1954747494
505	0.1951808875
506	0.1950501517
507	0.194836475
508	0.1946416566
509	0.1944395793
510	0.1941871597
511	0.1939333931
512	0.1938720834
513	0.1937772871
514	0.1935867091
515	0.1933827334
516	0.1933269915
517	0.1931547788
518	0.1929773546
519	0.1927776687
520	0.1926643046
521	0.192472837
522	0.1922503002
523	0.1920706609
524	0.1920337149
525	0.191851531
526	0.1917115489
527	0.1915551177
528	0.1913384664
529	0.1910439667
530	0.190849256
531	0.190760472
532	0.1904152783
533	0.1902940799
534	0.1901851218
535	0.1900101268
536	0.1899033443
537	0.1897579824
538	0.189610601
539	0.1893182555
540	0.1891577344
541	0.1888797184
542	0.1887285877
543	0.1885008951
544	0.1882766753
545	0.1882314371
546	0.1880779262
547	0.1877321693
548	0.1876025312
549	0.1875635667
550	0.1874352525
551	0.1871246456
552	0.1868999478
553	0.1867777609
554	0.1865475109
555	0.1863206303
556	0.1861907299
557	0.1859653793
558	0.1858085284
559	0.1855359982
560	0.1853881649
561	0.1852763782
562	0.1852285188
563	0.1849640019
564	0.1845930263
565	0.1843532386
566	0.1842171251
567	0.1838719706
568	0.1837246545
569	0.18354952
570	0.1834633494
571	0.1832792404
572	0.1832672157
573	0.1831574745
574	0.1829800911
575	0.1828518183
576	0.1826577433
577	0.1824480297
578	0.1822761556
579	0.182105595
580	0.1818960227
581	0.1816917622
582	0.181452417
583	0.1812853431
584	0.1812715469
585	0.1811053221
586	0.1808612477
587	0.1807187706
588	0.1806429197
589	0.1804853145
590	0.1803030506
591	0.1801234023
592	0.1799886984
593	0.1798715627
594	0.1797750853
595	0.1796457701
596	0.1793495863
597	0.1791658407
598	0.1788964759
599	0.1787515473
600	0.1785936951
