iter	Logloss
0	0.6925971508
1	0.6920477152
2	0.6914986372
3	0.6909521818
4	0.6904059052
5	0.6898568869
6	0.6893160343
7	0.6887699366
8	0.6882238984
9	0.6876779795
10	0.6871320009
11	0.6869264841
12	0.6863833666
13	0.6856979132
14	0.6851603985
15	0.6846177578
16	0.6843467355
17	0.6838069558
18	0.6835359335
19	0.6830002069
20	0.682317853
21	0.6816426516
22	0.6811022758
23	0.6808985472
24	0.6803611517
25	0.6800932288
26	0.6795585155
27	0.6790212393
28	0.6787548065
29	0.6785495281
30	0.6780165434
31	0.6774821877
32	0.6772778034
33	0.6770111322
34	0.6763391495
35	0.6761345267
36	0.6756031513
37	0.6750720143
38	0.6748054028
39	0.6742756367
40	0.6737459898
41	0.6734815836
42	0.6729520559
43	0.6722836494
44	0.6720213294
45	0.6718202829
46	0.6712913513
47	0.6706269383
48	0.6700996161
49	0.6695737839
50	0.6690506935
51	0.6685277224
52	0.6678649783
53	0.6673409939
54	0.6670804024
55	0.6668211818
56	0.6662974954
57	0.6660372019
58	0.6655148864
59	0.6652545929
60	0.6647350788
61	0.6645321846
62	0.6640182734
63	0.6634964943
64	0.6629761457
65	0.6623222232
66	0.6620662212
67	0.6618686914
68	0.6616117954
69	0.661352098
70	0.6608362198
71	0.6603192091
72	0.6598021388
73	0.6595438719
74	0.659032464
75	0.6585197449
76	0.658003211
77	0.6574934125
78	0.657235384
79	0.6567230225
80	0.6564691663
81	0.6559610367
82	0.6557059288
83	0.65551126
84	0.654997766
85	0.654745698
86	0.6542364359
87	0.6537246704
88	0.653085351
89	0.652887702
90	0.6526373625
91	0.6519951224
92	0.6518003941
93	0.6512963772
94	0.651045084
95	0.6507860422
96	0.6502821445
97	0.6500288248
98	0.6497806311
99	0.6492769718
100	0.6490260959
101	0.6487765908
102	0.6482704878
103	0.6476378441
104	0.6471322179
105	0.6466306448
106	0.6463814974
107	0.6457477212
108	0.6451183558
109	0.6446202993
110	0.6441209316
111	0.6439278126
112	0.6434298754
113	0.6429334879
114	0.64243716
115	0.6418099403
116	0.6411793232
117	0.6406850815
118	0.6404972076
119	0.6402520537
120	0.6397566795
121	0.6395129561
122	0.6390203238
123	0.6385239363
124	0.6382803321
125	0.6377894282
126	0.6375994682
127	0.6374094486
128	0.6369162798
129	0.6364257932
130	0.635935545
131	0.6354452968
132	0.6352533102
133	0.6347659826
134	0.6342775822
135	0.6340363026
136	0.6335465908
137	0.6329311132
138	0.632445991
139	0.6319568753
140	0.6314706802
141	0.6312311888
142	0.6306186914
143	0.6303781867
144	0.6298951507
145	0.6294082999
146	0.6289281845
147	0.6286880374
148	0.628202796
149	0.6277229786
150	0.6272420287
151	0.626761198
152	0.6261519194
153	0.6259120703
154	0.6254330873
155	0.6251989007
156	0.6249606609
157	0.6247237921
158	0.6242477894
159	0.6240622997
160	0.6235826612
161	0.6234030724
162	0.6232223511
163	0.6227452755
164	0.6222672462
165	0.6217944026
166	0.6213191152
167	0.6208413839
168	0.6203702688
169	0.6201276779
170	0.6199493408
171	0.6194771528
172	0.6190038323
173	0.6188232899
174	0.6183488369
175	0.6178798676
176	0.617405653
177	0.6171768904
178	0.6167017817
179	0.6164704561
180	0.616001904
181	0.6155310869
182	0.615062952
183	0.6145949364
184	0.6141257882
185	0.6138949394
186	0.6134299636
187	0.6129637361
188	0.6124978065
189	0.6122660637
190	0.6118001938
191	0.6115711927
192	0.6113956571
193	0.6112215519
194	0.6109941602
195	0.6107654572
196	0.6102999449
197	0.6098374128
198	0.6096099615
199	0.6093831062
200	0.6092047691
201	0.6087399125
202	0.6081550121
203	0.6076931953
204	0.607231617
205	0.6070090532
206	0.606546402
207	0.6060888767
208	0.6056265235
209	0.6053959131
210	0.6049363613
211	0.6043558121
212	0.6041337848
213	0.6039066315
214	0.6034502387
215	0.6032807827
216	0.6028231978
217	0.6023658514
218	0.6021417379
219	0.601691246
220	0.6012316346
221	0.6006591916
222	0.6002039909
223	0.5996283889
224	0.5990562439
225	0.5986044407
226	0.5980333686
227	0.5978094339
228	0.597578764
229	0.597127676
230	0.596560359
231	0.5961084366
232	0.5955433846
233	0.5950931907
234	0.5946446657
235	0.594198823
236	0.593753159
237	0.5933036804
238	0.5928596854
239	0.5924105048
240	0.5919654369
241	0.5915205479
242	0.5913068056
243	0.5908607841
244	0.5904162526
245	0.5901988149
246	0.5897558928
247	0.5893156528
248	0.5887534618
249	0.5881970525
250	0.587980032
251	0.5875381231
252	0.5870991349
253	0.586882472
254	0.5867145061
255	0.5862718225
256	0.585837245
257	0.5853976011
258	0.5849606991
259	0.5845212936
260	0.5843078494
261	0.5840923786
262	0.5836572647
263	0.5834439993
264	0.5830066204
265	0.5825718641
266	0.5823602676
267	0.5819245577
268	0.5814888477
269	0.5813227892
270	0.5808899403
271	0.5804522038
272	0.580021143
273	0.5798014402
274	0.5793693066
275	0.5792053938
276	0.5787786245
277	0.5783442259
278	0.577916503
279	0.5773675442
280	0.5769402981
281	0.5765080452
282	0.5762994289
283	0.5758674145
284	0.5756613016
285	0.5752308369
286	0.5750262737
287	0.5744836926
288	0.5739458203
289	0.5737349987
290	0.5733069181
291	0.5728801489
292	0.5724576712
293	0.5720351934
294	0.5716090202
295	0.5711842775
296	0.5707610846
297	0.5705562234
298	0.5701345205
299	0.5699164867
300	0.5697623491
301	0.5693368316
302	0.5689195991
303	0.5687127113
304	0.5682902336
305	0.5680860281
306	0.5676652193
307	0.5672473311
308	0.5668268204
309	0.5666242838
310	0.5662068129
311	0.5657880902
312	0.5656231642
313	0.5654236674
314	0.5652194619
315	0.5647985935
316	0.5642687082
317	0.5638535023
318	0.5634400249
319	0.5630252361
320	0.5624983907
321	0.5620828271
322	0.5616700649
323	0.5612535477
324	0.5608423352
325	0.5604313612
326	0.560018003
327	0.5598171949
328	0.5592972636
329	0.5590958595
330	0.558683157
