iter	Passed	Remaining
0	111	111469
1	114	57163
2	115	38511
3	116	29116
4	118	23584
5	119	19798
6	123	17585
7	126	15660
8	128	14194
9	129	12868
10	131	11787
11	131	10866
12	133	10163
13	134	9491
14	137	9003
15	138	8503
16	141	8175
17	142	7784
18	143	7415
19	144	7083
20	145	6784
21	146	6520
22	149	6347
23	152	6197
24	154	6009
25	155	5806
26	156	5623
27	157	5453
28	158	5291
29	159	5141
30	160	5002
31	161	4870
32	161	4741
33	162	4626
34	164	4527
35	165	4426
36	166	4331
37	167	4239
38	168	4158
39	169	4078
40	171	4000
41	171	3920
42	172	3847
43	174	3780
44	175	3714
45	176	3663
46	178	3609
47	179	3561
48	180	3505
49	181	3450
50	182	3397
51	183	3349
52	184	3299
53	185	3249
54	186	3201
55	187	3160
56	190	3150
57	192	3122
58	193	3085
59	194	3045
60	195	3012
61	197	2982
62	198	2947
63	200	2926
64	201	2893
65	202	2860
66	203	2828
67	204	2796
68	205	2767
69	206	2742
70	207	2717
71	209	2694
72	210	2668
73	211	2641
74	211	2614
75	212	2588
76	213	2564
77	214	2539
78	215	2513
79	216	2488
80	217	2463
81	218	2441
82	219	2422
83	220	2401
84	221	2382
85	222	2362
86	223	2343
87	224	2325
88	225	2308
89	226	2289
90	227	2270
91	228	2252
92	229	2234
93	229	2216
94	230	2199
95	231	2182
96	236	2201
97	237	2184
98	238	2170
99	239	2156
100	240	2140
101	241	2123
102	242	2108
103	242	2093
104	243	2079
105	244	2065
106	245	2052
107	246	2037
108	248	2033
109	250	2022
110	251	2010
111	252	2002
112	253	1993
113	254	1981
114	255	1968
115	256	1956
116	257	1944
117	258	1932
118	259	1920
119	260	1909
120	261	1897
121	263	1893
122	264	1884
123	265	1875
124	266	1868
125	267	1858
126	268	1848
127	269	1836
128	270	1826
129	271	1816
130	272	1806
131	273	1797
132	274	1788
133	275	1778
134	276	1770
135	277	1761
136	278	1755
137	279	1747
138	280	1739
139	281	1730
140	282	1722
141	283	1714
142	284	1706
143	285	1697
144	286	1689
145	287	1681
146	288	1673
147	289	1664
148	290	1656
149	291	1649
150	292	1643
151	293	1636
152	294	1631
153	295	1624
154	296	1618
155	297	1611
156	299	1605
157	300	1599
158	301	1592
159	302	1585
160	302	1578
161	303	1571
162	304	1564
163	306	1559
164	307	1556
165	308	1551
166	309	1545
167	311	1542
168	312	1536
169	313	1530
170	314	1523
171	315	1517
172	316	1511
173	317	1505
174	318	1499
175	319	1493
176	320	1489
177	321	1484
178	322	1481
179	324	1478
180	325	1473
181	326	1469
182	327	1463
183	328	1457
184	329	1452
185	330	1446
186	331	1441
187	332	1435
188	333	1430
189	334	1424
190	335	1420
191	336	1416
192	337	1411
193	338	1406
194	340	1403
195	341	1399
196	342	1395
197	343	1390
198	344	1385
199	345	1380
200	346	1376
201	347	1371
202	348	1367
203	349	1364
204	350	1361
205	352	1357
206	353	1353
207	354	1350
208	355	1346
209	356	1341
210	357	1337
211	358	1332
212	359	1328
213	360	1323
214	361	1320
215	362	1316
216	363	1313
217	365	1309
218	366	1305
219	367	1302
220	368	1300
221	369	1296
222	370	1292
223	371	1288
224	372	1284
225	373	1280
226	375	1277
227	377	1276
228	378	1273
229	380	1272
230	381	1268
231	382	1265
232	383	1261
233	384	1257
234	385	1253
235	386	1249
236	386	1245
237	387	1242
238	389	1239
239	390	1236
240	391	1233
241	393	1232
242	394	1228
243	395	1226
244	396	1222
245	397	1219
246	398	1215
247	399	1211
248	400	1208
249	401	1204
250	402	1201
251	403	1198
252	405	1196
253	406	1193
254	407	1190
255	408	1186
256	409	1184
257	410	1181
258	411	1178
259	412	1175
260	413	1172
261	431	1214
262	432	1211
263	433	1207
264	434	1205
265	435	1202
266	436	1199
267	439	1199
268	440	1196
269	450	1218
